num_av,num_pv,runtime_sec_greedy,runtime_sec_hungarian,runtime_sec_relative,total_saving_greedy,total_saving_hungarian,total_saving_relative,matched_ratio_greedy,matched_ratio_hungarian,matched_ratio_relative,avg_saving_per_pv_greedy,avg_saving_per_pv_hungarian,avg_saving_per_pv_relative,saving_percent_greedy,saving_percent_hungarian,saving_percent_relative
20,50,0.0050963889904474995,0.0018386109926116334,277.1869096250966,400.3333333333333,400.0,100.08333333333333,0.3333333333333333,0.3333333333333333,100.0,23.95614035087719,23.938596491228072,100.07328691828508,18.5752738646895,18.56105922360919,100.07658313520294
20,100,0.016050347340448433,0.004477208344420999,358.49007027891827,643.6666666666666,631.3333333333334,101.9535374868004,0.26,0.26666666666666666,97.50000000000001,24.731187084520418,23.662867996201328,104.514748966569,18.349044557051737,17.993886926612166,101.97376826856852
20,200,0.04123690266472593,0.011672555323457267,353.2808500111017,873.6666666666666,887.3333333333334,98.45980465815177,0.16166666666666665,0.17333333333333334,93.26923076923076,26.99739328771587,25.586805555555557,105.5129497470779,13.171299387825377,13.381313488109043,98.43054196084495
20,400,0.08788370833887404,0.018002513999817865,488.17464238474236,989.0,995.6666666666666,99.33043187144293,0.08666666666666667,0.09000000000000001,96.29629629629629,28.649920255183414,27.715747215747214,103.37054971732978,7.624506464981006,7.6758885743715055,99.33060376147127
80,50,0.04267786133762754,0.012030208677363867,354.75578589031903,1130.3333333333333,1143.6666666666667,98.83415913727774,0.8266666666666667,0.8533333333333334,96.87499999999999,27.369444444444444,26.813953488372093,102.07164883877806,28.36236987503715,28.6899158001826,98.85832385348664
80,100,0.17040781932882962,0.021792305672230766,781.9632391903112,2189.6666666666665,2221.0,98.58922407324027,0.7833333333333333,0.8466666666666667,92.51968503937007,28.023038423909515,26.21847660723184,106.88278668402849,39.88611238237157,40.450195091317006,98.60548828584879
80,200,0.6020920973290534,0.05446437465919487,1105.478766802303,3582.0,3582.6666666666665,99.98139188686268,0.5983333333333333,0.6933333333333334,86.29807692307692,29.89599170373707,25.838325094394275,115.70406206485544,40.38455807292508,40.39985624452168,99.96213310388036
80,400,1.5202969026577193,0.11053509766740406,1375.3974391303614,4419.666666666667,4500.333333333333,98.20754018220875,0.3491666666666666,0.38166666666666665,91.48471615720524,31.71188905440874,29.48490832168585,107.5529511858274,28.933801399668425,29.461800677185305,98.2078513010722
160,50,0.09323790265868104,0.049451069333978574,188.54577649065288,1581.0,1598.0,98.93617021276596,0.96,0.9733333333333333,98.63013698630138,32.9443630288995,32.84664061369228,100.29751114080898,23.063557244951408,23.312300639152948,98.9329950825026
160,100,0.3908119859988801,0.04857570865230317,804.5420166615523,3029.0,3058.6666666666665,99.03007846556234,0.9266666666666667,0.9633333333333333,96.1937716262976,32.68906810035842,31.77308322587578,102.88289577681485,35.568831896922326,35.9164068158081,99.03226700636213
160,200,1.5001676806617372,0.08205584700529771,1828.2276466720073,5315.0,5402.0,98.38948537578675,0.8583333333333334,0.9566666666666667,89.7212543554007,30.96154820896417,28.234784031413614,109.65746426293468,45.90414299629629,46.65277380937172,98.3953133930805
160,400,5.278651291320178,0.22972243065790576,2297.838864146859,8183.333333333333,8384.0,97.60655216284987,0.6358333333333333,0.7641666666666667,83.20610687022901,32.17566956524171,27.430936309557662,117.29701531927242,44.629004467503,45.72349648208445,97.6062810178782
