num_av,num_pv,runtime_sec_greedy,runtime_sec_hungarian,runtime_sec_relative,total_saving_greedy,total_saving_hungarian,total_saving_relative,matched_ratio_greedy,matched_ratio_hungarian,matched_ratio_relative,avg_saving_per_pv_greedy,avg_saving_per_pv_hungarian,avg_saving_per_pv_relative,saving_percent_greedy,saving_percent_hungarian,saving_percent_relative
10,200,0.0003194167744368,0.31008020820008825,0.10301101650147469,659.6,660.2,99.90911844895486,0.097,0.097,100.0,33.35738095238095,33.38738095238095,99.9101456923417,9.887737963757619,9.896881517552194,99.90761176863279
10,400,0.0006553166545927,2.509809341800792,0.02611021656818399,661.0,661.0,100.0,0.0485,0.0485,100.0,33.42595238095238,33.42595238095238,100.0,4.916868141212601,4.916868141212601,100.0
10,800,0.00137011641636486,20.37807360840052,0.0067234834984600915,661.0,661.0,100.0,0.02425,0.02425,100.0,33.42595238095238,33.42595238095238,100.0,2.5251621207228077,2.5251621207228077,100.0
10,1600,0.00270985816605386,164.88216439160024,0.001643512005105575,661.0,661.0,100.0,0.012125,0.012125,100.0,33.42595238095238,33.42595238095238,100.0,1.267870081408367,1.267870081408367,100.0
20,200,0.0006662418134510001,0.3299687086004269,0.2019106042742315,1351.4,1353.2,99.86698196866686,0.198,0.198,100.0,33.88314711196596,33.92800926735443,99.86777250903536,19.054629923401762,19.08016511717358,99.86616890569341
20,400,0.0013704170007258199,2.65021448319967,0.05170966385600916,1359.4,1359.4,100.0,0.099,0.099,100.0,34.076979367022204,34.076979367022204,100.0,9.80365203882179,9.80365203882179,100.0
20,800,0.0029431081842630604,20.8205457835993,0.014135595746877092,1359.8,1359.8,100.0,0.0495,0.0495,100.0,34.086281692603606,34.086281692603606,100.0,5.121998339061341,5.121998339061341,100.0
20,1600,0.00541590857319528,166.9771664333999,0.0032435025032931408,1359.8,1359.8,100.0,0.02475,0.02475,100.0,34.086281692603606,34.086281692603606,100.0,2.587641928454634,2.587641928454634,100.0
40,200,0.00131054134108122,0.4077030084001308,0.3214450995159249,2620.6,2630.6,99.6198585873945,0.40099999999999997,0.40099999999999997,100.0,32.64527609470138,32.770694439659955,99.61728505573934,33.456651064864225,33.58376352922109,99.62150619525931
40,400,0.0028209331911056997,2.9466131165998375,0.09573476664492817,2665.0,2666.6,99.9399984999625,0.20049999999999998,0.20049999999999998,100.0,33.20218793552127,33.22181003330429,99.9409360966084,18.301955341069235,18.313019736976713,99.93958180536912
40,800,0.005521566607058,22.682751366800584,0.024342578718821534,2668.2,2668.8,99.9775179856115,0.10024999999999999,0.10024999999999999,100.0,33.24169738307669,33.24929472400737,99.97715036967327,9.800978521406666,9.803170500880363,99.97764009640045
40,1600,0.010914449999108861,172.4721877084001,0.006328237696829124,2669.4,2669.4,100.0,0.050124999999999996,0.050124999999999996,100.0,33.25698703169967,33.25698703169967,100.0,5.019389109048094,5.019389109048094,100.0
80,200,0.00410127518698568,0.7331928415998845,0.5593719625025764,4915.0,5013.4,98.03726014281726,0.776,0.8119999999999999,95.56650246305419,31.6892762082822,30.843052416374604,102.74364476149687,52.99780374544845,54.05559462057931,98.04314265238301
80,400,0.0056328999344259206,3.605037616399932,0.15625079496538113,5244.4,5250.0,99.89333333333332,0.40599999999999997,0.40599999999999997,100.0,32.256576293166574,32.29069676618949,99.89433342590908,33.08862733731374,33.12379572101794,99.89382743451142
80,800,0.01096675000153476,25.51872639139947,0.04297530305129516,5261.0,5261.6,99.98859662460087,0.20299999999999999,0.20299999999999999,100.0,32.35782973320936,32.361541854421475,99.9885292201811,18.488944228237294,18.491037565864843,99.98867917703323
80,1600,0.021750466618686858,183.60025191679998,0.011846643123639759,5265.2,5265.2,100.0,0.10149999999999999,0.10149999999999999,100.0,32.383638986243234,32.383638986243234,100.0,9.670071401463485,9.670071401463485,100.0
160,200,0.007220500428229521,4.996182049800336,0.14452036287424866,6484.8,6572.6,98.66415117305176,0.986,1.0,98.6,32.87550117792047,32.863,100.03804028214245,54.9669089522017,55.72085341493651,98.64692585176252
160,400,0.01093735005706546,5.4620863833995825,0.20024125012570917,9883.0,10047.4,98.36375579751976,0.7779999999999999,0.8015000000000001,97.0679975046787,31.770067786204322,31.33776618335159,101.37949080455644,54.17518959253111,55.073673525973845,98.36857816826222
160,800,0.023153707943856662,30.954737700199985,0.07479859195740197,10273.0,10277.2,99.9591328377379,0.40075000000000005,0.40075000000000005,100.0,32.03248832887708,32.0454450860272,99.95956755440488,33.17947820240081,33.19304670219311,99.95912246346641
160,1600,0.04546843343414362,205.6246562332006,0.02211234502081185,10290.8,10290.8,100.0,0.20037500000000003,0.20037500000000003,100.0,32.08801793963378,32.08801793963378,100.0,18.08064968824317,18.08064968824317,100.0
320,200,0.01038490859791632,21.924828916599655,0.047365973241659975,6329.8,6331.8,99.96841340535076,1.0,1.0,100.0,31.649,31.659,99.96841340535077,37.7037514865208,37.71556724453323,99.96867140314814
320,400,0.02152914158068592,40.751064533200044,0.0528308691498011,12538.4,12574.4,99.71370403359207,0.9964999999999999,1.0,99.64999999999999,31.456230402259372,31.436,100.06435425072966,54.385349824959576,54.54122219643155,99.71421181045304
320,800,0.04547550836578006,44.42795862519997,0.10235786152007872,20274.8,20464.8,99.07157656072867,0.78675,0.79125,99.43127962085308,32.21301369947729,32.328040068244725,99.64419009465276,56.148041007012374,56.67413679187102,99.07171804523345
320,1600,0.09676234200596806,245.10557356699866,0.03947782198413307,20755.8,20761.4,99.97302686716695,0.395625,0.395625,100.0,32.787406452454086,32.79628110199613,99.9729400735576,33.52530652024404,33.534316667931805,99.97313156019551
