capacity_max,runtime_sec_greedy,runtime_sec_hungarian,runtime_sec_relative,total_saving_greedy,total_saving_hungarian,total_saving_relative,matched_ratio_greedy,matched_ratio_hungarian,matched_ratio_relative,avg_saving_per_pv_greedy,avg_saving_per_pv_hungarian,avg_saving_per_pv_relative,saving_percent_greedy,saving_percent_hungarian,saving_percent_relative
2,0.20696637502017742,0.018308666680240934,1130.4284393551145,1834.3333333333333,1863.0,98.46126319556271,0.3116666666666667,0.3383333333333334,92.11822660098522,29.443814707546853,27.55159817351598,106.867901172607,23.758841432427847,24.130876718971503,98.45826038201436
4,0.2955514866528877,0.03532569466430376,836.6473453996628,2486.3333333333335,2524.3333333333335,98.49465205334742,0.4583333333333333,0.5083333333333333,90.1639344262295,27.1137197658913,24.848716329966333,109.11517281556104,32.192116300857094,32.67713281963182,98.51573110330128
8,0.4089643056698454,0.0731418333307374,559.1387131637302,3300.6666666666665,3367.3333333333335,98.02019402098593,0.6183333333333333,0.6916666666666668,89.39759036144576,26.68074689414568,24.31672826043055,109.72177921468978,42.74849535413236,43.60222229260802,98.0420104903222
16,0.4301715413360701,0.1501156250014901,286.5601374485835,3784.6666666666665,3838.3333333333335,98.60182370820668,0.7050000000000001,0.7566666666666667,93.17180616740089,26.838927247463772,25.344557280528353,105.89621649490604,49.005018301562906,49.6959130954634,98.60975530810084
