algorithm,scenario_type,fixed_value,seed,highway_length,min_trip_length,capacity_min,capacity_max,num_av,num_pv,enable_time_constraints,time_tolerance,time_window,runtime_sec,baseline_total_distance,greedy_total_distance,total_saving,matched_pv,matched_ratio,avg_saving_per_pv,saving_percent
hungarian,pv_sweep,80,42,100,10,1,3,80,50,True,5.0,100.0,0.6914434579957742,4150,2998,1152,42,0.84,27.428571428571427,27.759036144578314
hungarian,pv_sweep,80,43,100,10,1,3,80,50,True,5.0,100.0,0.6808866670035059,3945,2811,1134,43,0.86,26.372093023255815,28.74524714828897
hungarian,pv_sweep,80,44,100,10,1,3,80,50,True,5.0,100.0,0.5798596669919789,3863,2812,1051,43,0.86,24.441860465116278,27.206834066787472
hungarian,pv_sweep,80,42,100,10,1,3,80,100,True,5.0,100.0,0.8032788749987958,5624,3535,2089,76,0.76,27.486842105263158,37.144381223328594
hungarian,pv_sweep,80,43,100,10,1,3,80,100,True,5.0,100.0,1.0258952919975854,5548,3196,2352,85,0.85,27.67058823529412,42.39365537130497
hungarian,pv_sweep,80,44,100,10,1,3,80,100,True,5.0,100.0,0.8872954590042355,5305,3207,2098,84,0.84,24.976190476190474,39.54759660697455
hungarian,pv_sweep,80,42,100,10,1,3,80,200,True,5.0,100.0,4.597725458996138,8798,5341,3457,116,0.58,29.801724137931036,39.29302114116845
hungarian,pv_sweep,80,43,100,10,1,3,80,200,True,5.0,100.0,5.465395333012566,9043,4926,4117,141,0.705,29.19858156028369,45.52692690478823
hungarian,pv_sweep,80,44,100,10,1,3,80,200,True,5.0,100.0,3.182426708008279,8737,5398,3339,125,0.625,26.712,38.216779214833466
hungarian,pv_sweep,80,42,100,10,1,3,80,400,True,5.0,100.0,28.03330433400697,15286,10937,4349,137,0.3425,31.744525547445257,28.450870077194818
hungarian,pv_sweep,80,43,100,10,1,3,80,400,True,5.0,100.0,20.305659958001343,15284,10426,4858,156,0.39,31.141025641025642,31.784873069876994
hungarian,pv_sweep,80,44,100,10,1,3,80,400,True,5.0,100.0,15.009537375008222,15254,11013,4241,146,0.365,29.04794520547945,27.802543595122593
hungarian,pv_sweep,160,42,100,10,1,3,160,50,True,5.0,100.0,2.7587020409991965,6926,5355,1571,49,0.98,32.06122448979592,22.682645105399942
hungarian,pv_sweep,160,43,100,10,1,3,160,50,True,5.0,100.0,2.8169979579979554,6959,5377,1582,47,0.94,33.659574468085104,22.733151314844086
hungarian,pv_sweep,160,44,100,10,1,3,160,50,True,5.0,100.0,3.137907540993183,6690,5110,1580,50,1.0,31.6,23.61733931240658
hungarian,pv_sweep,160,42,100,10,1,3,160,100,True,5.0,100.0,5.048418167003547,8482,5524,2958,99,0.99,29.87878787878788,34.873850506955904
hungarian,pv_sweep,160,43,100,10,1,3,160,100,True,5.0,100.0,3.6141037920024246,8651,5653,2998,94,0.94,31.893617021276597,34.65495318460294
hungarian,pv_sweep,160,44,100,10,1,3,160,100,True,5.0,100.0,5.670129417005228,8417,5467,2950,94,0.94,31.382978723404257,35.04811690626114
hungarian,pv_sweep,160,42,100,10,1,3,160,200,True,5.0,100.0,13.120743833002052,11476,6240,5236,181,0.905,28.92817679558011,45.62565353781805
hungarian,pv_sweep,160,43,100,10,1,3,160,200,True,5.0,100.0,10.52025129100366,11738,6229,5509,186,0.93,29.618279569892472,46.93303799625149
hungarian,pv_sweep,160,44,100,10,1,3,160,200,True,5.0,100.0,11.142507374999695,11516,6199,5317,181,0.905,29.375690607734807,46.17054532823897
hungarian,pv_sweep,160,42,100,10,1,3,160,400,True,5.0,100.0,41.520210500006215,18300,9893,8407,271,0.6775,31.022140221402214,45.939890710382514
