algorithm,scenario_type,fixed_value,seed,highway_length,min_trip_length,capacity_min,capacity_max,num_av,num_pv,runtime_sec,baseline_total_distance,greedy_total_distance,total_saving,matched_pv,matched_ratio,avg_saving_per_pv,saving_percent
greedy,pv_sweep,80,42,100,10,1,3,80,200,0.0030120410956442356,8950,4657,4293,154,0.77,27.876623376623378,47.96648044692737
greedy,pv_sweep,80,43,100,10,1,3,80,200,0.0030381667893379927,9102,3892,5210,159,0.795,32.76729559748428,57.24016699626455
greedy,pv_sweep,80,44,100,10,1,3,80,200,0.0032424998935312033,9458,4429,5029,146,0.73,34.445205479452056,53.17191795305561
greedy,pv_sweep,80,45,100,10,1,3,80,200,0.003230083966627717,9033,4166,4867,158,0.79,30.803797468354432,53.880216982176464
greedy,pv_sweep,80,46,100,10,1,3,80,200,0.002863208996132016,9816,4640,5176,159,0.795,32.55345911949686,52.73023634881826
greedy,pv_sweep,80,42,100,10,1,3,80,400,0.005611124914139509,15289,10964,4325,155,0.3875,27.903225806451612,28.288311858198707
greedy,pv_sweep,80,43,100,10,1,3,80,400,0.006047624861821532,15614,10058,5556,168,0.42,33.07142857142857,35.583450749327525
greedy,pv_sweep,80,44,100,10,1,3,80,400,0.006130875088274479,15919,10242,5677,160,0.4,35.48125,35.66178780074125
greedy,pv_sweep,80,45,100,10,1,3,80,400,0.006704875035211444,15968,10626,5342,165,0.4125,32.375757575757575,33.454408817635276
greedy,pv_sweep,80,46,100,10,1,3,80,400,0.0057258750312030315,16398,11076,5322,164,0.41,32.451219512195124,32.45517746066594
greedy,pv_sweep,80,42,100,10,1,3,80,800,0.011274415999650955,27729,23400,4329,155,0.19375,27.929032258064517,15.611814345991561
greedy,pv_sweep,80,43,100,10,1,3,80,800,0.011512333061546087,28295,22723,5572,168,0.21,33.166666666666664,19.692525181127408
greedy,pv_sweep,80,44,100,10,1,3,80,800,0.01237075007520616,28914,23220,5694,160,0.2,35.5875,19.69288234073459
greedy,pv_sweep,80,45,100,10,1,3,80,800,0.012855416862294078,28172,22789,5383,165,0.20625,32.624242424242425,19.10762459179327
greedy,pv_sweep,80,46,100,10,1,3,80,800,0.01179499994032085,29046,23719,5327,164,0.205,32.48170731707317,18.339874681539627
greedy,pv_sweep,80,42,100,10,1,3,80,1600,0.024029625114053488,53560,49228,4332,155,0.096875,27.948387096774194,8.088125466766243
greedy,pv_sweep,80,43,100,10,1,3,80,1600,0.026690582977607846,54787,49215,5572,168,0.105,33.166666666666664,10.170295873108584
greedy,pv_sweep,80,44,100,10,1,3,80,1600,0.023265291005373,53978,48282,5696,160,0.1,35.6,10.552447293341732
greedy,pv_sweep,80,45,100,10,1,3,80,1600,0.022882041987031698,54020,48627,5393,165,0.103125,32.68484848484849,9.98333950388745
greedy,pv_sweep,80,46,100,10,1,3,80,1600,0.024606874911114573,55807,50474,5333,164,0.1025,32.51829268292683,9.556148870213415
greedy,pv_sweep,320,42,100,10,1,3,320,50,0.003034207969903946,11859,10123,1736,50,1.0,34.72,14.638671051522051
greedy,pv_sweep,320,43,100,10,1,3,320,50,0.0031175839249044657,12225,10613,1612,50,1.0,32.24,13.186094069529652
greedy,pv_sweep,320,44,100,10,1,3,320,50,0.002619624836370349,11858,10277,1581,50,1.0,31.62,13.332771124978917
greedy,pv_sweep,320,45,100,10,1,3,320,50,0.0027071251533925533,12070,10449,1621,50,1.0,32.42,13.429991714995856
greedy,pv_sweep,320,46,100,10,1,3,320,50,0.002919499995186925,12335,10772,1563,50,1.0,31.26,12.671260640453994
greedy,pv_sweep,320,42,100,10,1,3,320,100,0.006080541061237454,13404,10125,3279,100,1.0,32.79,24.46284691136974
greedy,pv_sweep,320,43,100,10,1,3,320,100,0.006445000180974603,13999,10615,3384,100,1.0,33.84,24.17315522537324
greedy,pv_sweep,320,44,100,10,1,3,320,100,0.0051849589217454195,13455,10281,3174,100,1.0,31.74,23.589743589743588
greedy,pv_sweep,320,45,100,10,1,3,320,100,0.005368875106796622,13581,10454,3127,100,1.0,31.27,23.02481407849201
greedy,pv_sweep,320,46,100,10,1,3,320,100,0.00551749998703599,13968,10772,3196,100,1.0,31.96,22.880870561282933
greedy,pv_sweep,320,42,100,10,1,3,320,200,0.011574500007554889,16478,10128,6350,200,1.0,31.75,38.536230125015166
greedy,pv_sweep,320,43,100,10,1,3,320,200,0.011728750076144934,17382,10625,6757,200,1.0,33.785,38.87354734783109
greedy,pv_sweep,320,44,100,10,1,3,320,200,0.010859499918296933,16605,10287,6318,200,1.0,31.59,38.048780487804876
greedy,pv_sweep,320,45,100,10,1,3,320,200,0.01090425020083785,16404,10456,5948,200,1.0,29.74,36.259448914898805
greedy,pv_sweep,320,46,100,10,1,3,320,200,0.011001332895830274,17054,10778,6276,200,1.0,31.38,36.800750557054066
greedy,pv_sweep,320,42,100,10,1,3,320,400,0.023559249937534332,22580,10204,12376,397,0.9925,31.173803526448363,54.809565987599655
greedy,pv_sweep,320,43,100,10,1,3,320,400,0.022353125037625432,23225,10645,12580,400,1.0,31.45,54.16576964477934
greedy,pv_sweep,320,44,100,10,1,3,320,400,0.023156624985858798,23438,10391,13047,400,1.0,32.6175,55.666012458400886
greedy,pv_sweep,320,45,100,10,1,3,320,400,0.023355458164587617,22595,10473,12122,400,1.0,30.305,53.649037397654354
greedy,pv_sweep,320,46,100,10,1,3,320,400,0.023538208100944757,23430,10863,12567,396,0.99,31.734848484848484,53.63636363636364
greedy,pv_sweep,320,42,100,10,1,3,320,800,0.09467549994587898,35746,16157,19589,626,0.7825,31.292332268370608,54.800537123034744
greedy,pv_sweep,320,43,100,10,1,3,320,800,0.07481554197147489,36272,15686,20586,624,0.78,32.99038461538461,56.75452139391266
greedy,pv_sweep,320,44,100,10,1,3,320,800,0.0480748750269413,35986,15778,20208,630,0.7875,32.076190476190476,56.155171455566055
greedy,pv_sweep,320,45,100,10,1,3,320,800,0.050433791941031814,35737,15449,20288,634,0.7925,32.0,56.770294092956874
greedy,pv_sweep,320,46,100,10,1,3,320,800,0.04640820901840925,36799,16096,20703,633,0.79125,32.70616113744076,56.259680969591564
greedy,pv_sweep,320,42,100,10,1,3,320,1600,0.10933929099701345,61811,41946,19865,626,0.39125,31.733226837060702,32.13829253692708
greedy,pv_sweep,320,43,100,10,1,3,320,1600,0.10548670799471438,62637,41432,21205,633,0.395625,33.49921011058452,33.853792486868784
greedy,pv_sweep,320,44,100,10,1,3,320,1600,0.10295416694134474,61234,40379,20855,636,0.3975,32.790880503144656,34.05787634320802
greedy,pv_sweep,320,45,100,10,1,3,320,1600,0.10769158299081028,61176,40375,20801,637,0.398125,32.65463108320251,34.00189616843207
greedy,pv_sweep,320,46,100,10,1,3,320,1600,0.11400750000029802,62705,41652,21053,633,0.395625,33.25908372827804,33.57467506578423
greedy,pv_sweep,640,42,100,10,1,3,640,50,0.006574291968718171,22122,20545,1577,50,1.0,31.54,7.128650212458186
greedy,pv_sweep,640,43,100,10,1,3,640,50,0.006351124960929155,22383,20677,1706,50,1.0,34.12,7.621855872760578
greedy,pv_sweep,640,44,100,10,1,3,640,50,0.006181417033076286,22387,20698,1689,50,1.0,33.78,7.544557109036494
greedy,pv_sweep,640,45,100,10,1,3,640,50,0.005827832967042923,23311,21520,1791,50,1.0,35.82,7.68306807944747
greedy,pv_sweep,640,46,100,10,1,3,640,50,0.005621083080768585,22026,20484,1542,50,1.0,30.84,7.000817216017434
greedy,pv_sweep,640,42,100,10,1,3,640,100,0.012410250026732683,23776,20545,3231,100,1.0,32.31,13.589333781965006
greedy,pv_sweep,640,43,100,10,1,3,640,100,0.012293083127588034,23966,20677,3289,100,1.0,32.89,13.723608445297506
greedy,pv_sweep,640,44,100,10,1,3,640,100,0.011462291004136205,23877,20698,3179,100,1.0,31.79,13.31406793148218
greedy,pv_sweep,640,45,100,10,1,3,640,100,0.01219845819287002,24915,21520,3395,100,1.0,33.95,13.626329520369254
greedy,pv_sweep,640,46,100,10,1,3,640,100,0.011669959174469113,23730,20484,3246,100,1.0,32.46,13.678887484197219
greedy,pv_sweep,640,42,100,10,1,3,640,200,0.023379042046144605,26969,20545,6424,200,1.0,32.12,23.819941414216323
greedy,pv_sweep,640,43,100,10,1,3,640,200,0.024385707918554544,27383,20678,6705,200,1.0,33.525,24.485994960376875
greedy,pv_sweep,640,44,100,10,1,3,640,200,0.02097274991683662,26976,20702,6274,200,1.0,31.37,23.257710557532622
greedy,pv_sweep,640,45,100,10,1,3,640,200,0.0228514161426574,28416,21520,6896,200,1.0,34.48,24.26801801801802
greedy,pv_sweep,640,46,100,10,1,3,640,200,0.02386391698382795,27169,20484,6685,200,1.0,33.425,24.605248628952115
greedy,pv_sweep,640,42,100,10,1,3,640,400,0.05252279108390212,33559,20545,13014,400,1.0,32.535,38.77946303525135
greedy,pv_sweep,640,43,100,10,1,3,640,400,0.045931374887004495,33659,20678,12981,400,1.0,32.4525,38.56620814640958
greedy,pv_sweep,640,44,100,10,1,3,640,400,0.045965082943439484,33428,20711,12717,400,1.0,31.7925,38.04295799928204
greedy,pv_sweep,640,45,100,10,1,3,640,400,0.04722737497650087,34665,21520,13145,400,1.0,32.8625,37.92009231213039
greedy,pv_sweep,640,46,100,10,1,3,640,400,0.05029816599562764,33903,20495,13408,400,1.0,33.52,39.54812258502197
greedy,pv_sweep,640,42,100,10,1,3,640,800,0.10290491720661521,46382,20655,25727,798,0.9975,32.23934837092732,55.46763830796429
greedy,pv_sweep,640,43,100,10,1,3,640,800,0.0993117499165237,47073,20864,26209,800,1.0,32.76125,55.67735219765046
greedy,pv_sweep,640,44,100,10,1,3,640,800,0.10194837511517107,46073,20840,25233,800,1.0,31.54125,54.76743428906301
greedy,pv_sweep,640,45,100,10,1,3,640,800,0.10156758315861225,47687,21570,26117,797,0.99625,32.76913425345044,54.76754671084363
greedy,pv_sweep,640,46,100,10,1,3,640,800,0.1024488341063261,46963,20672,26291,799,0.99875,32.90488110137672,55.982369099078
greedy,pv_sweep,640,42,100,10,1,3,640,1600,0.21956758410669863,73363,31585,41778,1291,0.806875,32.36096049573974,56.94696236522498
greedy,pv_sweep,640,43,100,10,1,3,640,1600,0.2224397079553455,72743,31616,41127,1269,0.793125,32.40898345153664,56.5373987875122
greedy,pv_sweep,640,44,100,10,1,3,640,1600,0.20985837513580918,71743,30581,41162,1266,0.79125,32.51342812006319,57.37423860167542
greedy,pv_sweep,640,45,100,10,1,3,640,1600,0.21916187484748662,73248,31572,41676,1252,0.7825,33.287539936102235,56.897116644823065
greedy,pv_sweep,640,46,100,10,1,3,640,1600,0.21710025006905198,72985,32837,40148,1262,0.78875,31.81299524564184,55.00856340343906
greedy,av_sweep,200,42,100,10,1,3,10,200,0.00032858317717909813,6999,6689,310,16,0.08,19.375,4.4292041720245745
greedy,av_sweep,200,43,100,10,1,3,10,200,0.0003526248037815094,6830,5995,835,21,0.105,39.76190476190476,12.225475841874085
greedy,av_sweep,200,44,100,10,1,3,10,200,0.00036395806819200516,6562,5798,764,20,0.1,38.2,11.64279183175861
greedy,av_sweep,200,45,100,10,1,3,10,200,0.0003630830906331539,6618,5889,729,20,0.1,36.45,11.015412511332729
greedy,av_sweep,200,46,100,10,1,3,10,200,0.00035683298483490944,6518,5858,660,20,0.1,33.0,10.125805461798096
greedy,av_sweep,200,42,100,10,1,3,20,200,0.0006928341463208199,7218,6237,981,35,0.175,28.02857142857143,13.591022443890274
greedy,av_sweep,200,43,100,10,1,3,20,200,0.0006981671322137117,7222,5581,1641,43,0.215,38.16279069767442,22.722237607310994
greedy,av_sweep,200,44,100,10,1,3,20,200,0.0007401248440146446,7105,5742,1363,38,0.19,35.86842105263158,19.183673469387756
greedy,av_sweep,200,45,100,10,1,3,20,200,0.0006543330382555723,6918,5779,1139,40,0.2,28.475,16.464296039317723
greedy,av_sweep,200,46,100,10,1,3,20,200,0.0008858749642968178,7005,5372,1633,42,0.21,38.88095238095238,23.31192005710207
greedy,av_sweep,200,42,100,10,1,3,40,200,0.0013230829499661922,7496,5512,1984,77,0.385,25.766233766233768,26.467449306296693
greedy,av_sweep,200,43,100,10,1,3,40,200,0.0017049170564860106,7882,5030,2852,87,0.435,32.7816091954023,36.1837097183456
greedy,av_sweep,200,44,100,10,1,3,40,200,0.0014017918147146702,7747,5044,2703,78,0.39,34.65384615384615,34.89092551955596
greedy,av_sweep,200,45,100,10,1,3,40,200,0.0015390829648822546,7912,5156,2756,81,0.405,34.02469135802469,34.83316481294237
greedy,av_sweep,200,46,100,10,1,3,40,200,0.0014675408601760864,8044,5236,2808,78,0.39,36.0,34.90800596718051
greedy,av_sweep,200,42,100,10,1,3,80,200,0.002779416972771287,8950,4657,4293,154,0.77,27.876623376623378,47.96648044692737
greedy,av_sweep,200,43,100,10,1,3,80,200,0.0028141250368207693,9102,3892,5210,159,0.795,32.76729559748428,57.24016699626455
greedy,av_sweep,200,44,100,10,1,3,80,200,0.0027092918753623962,9458,4429,5029,146,0.73,34.445205479452056,53.17191795305561
greedy,av_sweep,200,45,100,10,1,3,80,200,0.002752459142357111,9033,4166,4867,158,0.79,30.803797468354432,53.880216982176464
greedy,av_sweep,200,46,100,10,1,3,80,200,0.003026125021278858,9816,4640,5176,159,0.795,32.55345911949686,52.73023634881826
greedy,av_sweep,200,42,100,10,1,3,160,200,0.005211416864767671,11088,5097,5991,193,0.965,31.041450777202073,54.03138528138528
greedy,av_sweep,200,43,100,10,1,3,160,200,0.005277208052575588,11704,5344,6360,200,1.0,31.8,54.3403964456596
